District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Date,Latitude,Longitude,Day,Month,WeekDay,Hour
LUCKNOW,P11042103901,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Threaten Women,11/04/2021 11:16:00,26.852,80.994,2021-04-11,4,1,11
LUCKNOW,P11042105373,C1,PS2,PHONE,Medium Fire,Building Res Insti Auditorial Academic Professional Indus Storage Multiplex Etc,11/04/2021 13:08:00,26.852,80.999,2021-04-11,4,1,13
LUCKNOW,P11042105391,C1,PS2,PHONE,Medium Fire,Building Res Insti Auditorial Academic Professional Indus Storage Multiplex Etc,11/04/2021 13:09:00,26.855,81.003,2021-04-11,4,1,13
LUCKNOW,P11042105421,C1,PS2,PHONE,Medium Fire,Building Res Insti Auditorial Academic Professional Indus Storage Multiplex Etc,11/04/2021 13:12:00,26.856,81.005,2021-04-11,4,1,13
LUCKNOW,P11042107693,C1,PS2,PHONE,Theft,Four Wheeler Vehicle,11/04/2021 16:06:00,26.85,80.984,2021-04-11,4,1,16
LUCKNOW,P11042107766,C1,PS2,PHONE,Female Sexual Harrassment,Teasing On Public Place,11/04/2021 16:15:00,26.853,81.0,2021-04-11,4,1,16
LUCKNOW,P11042107926,C1,PS2,PHONE,Dispute,Money Transactions Dispute,11/04/2021 16:28:00,26.846,80.996,2021-04-11,4,1,16
LUCKNOW,P11042108687,C1,PS2,PHONE,Dispute,Other Dispute,11/04/2021 17:39:00,26.854,80.992,2021-04-11,4,1,17
LUCKNOW,P11042108844,C1,PS2,PHONE,Threat In Person,Threatening To Kill,11/04/2021 17:54:00,26.864,80.981,2021-04-11,4,1,17
LUCKNOW,P11042108998,C1,PS2,PHONE,Dispute,Dispute In Hospital,11/04/2021 18:07:00,26.849,80.995,2021-04-11,4,1,18
LUCKNOW,P11042109352,C1,PS2,PHONE,Information Against Police,Prv Has Taken Money From The Caller,11/04/2021 18:36:00,26.849,80.997,2021-04-11,4,1,18
LUCKNOW,P11042109417,C1,PS2,PHONE,Information Against Police,Prv Has Taken Money From The Caller,11/04/2021 18:41:00,26.853,80.999,2021-04-11,4,1,18
LUCKNOW,P11042109725,C1,PS2,PHONE,Information Against Police,Prv Has Taken Money From The Caller,11/04/2021 19:10:00,26.852,80.99,2021-04-11,4,1,19
LUCKNOW,P11042109757,C1,PS2,PHONE,Property Disputes,Boundary Dispute,11/04/2021 19:12:00,26.852,80.99,2021-04-11,4,1,19
LUCKNOW,P11042110144,C1,PS2,PHONE,Property Disputes,Boundary Dispute,11/04/2021 19:50:00,26.853,80.988,2021-04-11,4,1,19
LUCKNOW,P11042110162,C1,PS2,PHONE,Information Against Police,Prv Has Taken Money From The Caller,11/04/2021 19:52:00,26.852,80.99,2021-04-11,4,1,19
LUCKNOW,P11042110265,C1,PS2,PHONE,Accident,Hit And Run,11/04/2021 20:00:00,26.847,80.987,2021-04-11,4,1,20
LUCKNOW,P11042110344,C1,PS2,PHONE,Dispute,With Neighbor,11/04/2021 20:06:00,26.852,80.99,2021-04-11,4,1,20
LUCKNOW,P11042112280,C1,PS2,PHONE,Suspicious Person Information,Information About Suspicious Person In Building/Campus/Place,11/04/2021 21:57:00,26.861,80.985,2021-04-11,4,1,21
LUCKNOW,P11042112344,C1,PS2,PHONE,Dispute,Other Dispute,11/04/2021 22:01:00,26.852,80.999,2021-04-11,4,1,22
LUCKNOW,P12042100289,C1,PS2,PHONE,Dispute,Dispute In Hospital,12/04/2021 00:28:00,26.849,80.996,2021-04-12,4,2,0
LUCKNOW,P12042100537,C1,PS2,PHONE,Suspicious Person Information,Information About Suspicious Person In Building/Campus/Place,12/04/2021 01:01:00,26.851,81.008,2021-04-12,4,2,1
LUCKNOW,P12042100891,C1,PS2,PHONE,Information Against Police,Misbehavior By Ps Incharge,12/04/2021 02:37:00,26.853,80.99,2021-04-12,4,2,2
LUCKNOW,P12042100916,C1,PS2,PHONE,Information Against Police,Misbehavior By Ps Incharge,12/04/2021 02:45:00,26.854,80.99,2021-04-12,4,2,2
LUCKNOW,P12042100961,C1,PS2,PHONE,Information Against Police,Misbehavior By Ps Incharge,12/04/2021 03:11:00,26.853,80.989,2021-04-12,4,2,3
LUCKNOW,P12042102343,C1,PS2,PHONE,Attempted Murder,Sharp Weapons,12/04/2021 08:41:00,26.849,80.993,2021-04-12,4,2,8
LUCKNOW,P12042102944,C1,PS2,PHONE,Information Against Police,Misbehavior By Ps Incharge,12/04/2021 09:35:00,26.853,80.99,2021-04-12,4,2,9
LUCKNOW,P12042105863,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Threaten Men,12/04/2021 13:40:00,26.864,80.981,2021-04-12,4,2,13
LUCKNOW,P12042105978,C1,PS2,PHONE,Female Sexual Harrassment,Teasing On Public Place,12/04/2021 13:50:00,26.858,80.984,2021-04-12,4,2,13
LUCKNOW,P12042106263,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Threaten Men,12/04/2021 14:16:00,26.849,80.996,2021-04-12,4,2,14
LUCKNOW,P12042106563,C1,PS2,PHONE,Dispute,Money Transactions Dispute,12/04/2021 14:43:00,26.857,80.974,2021-04-12,4,2,14
LUCKNOW,P12042107421,C1,PS2,PHONE,Information Against Police,Prv Has Taken Money From The Vehicle,12/04/2021 15:56:00,26.852,80.989,2021-04-12,4,2,15
LUCKNOW,P12042108893,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Threaten Men,12/04/2021 18:12:00,26.852,80.99,2021-04-12,4,2,18
LUCKNOW,P12042109781,C1,PS2,PHONE,Robbery,On Road,12/04/2021 19:31:00,26.848,81.018,2021-04-12,4,2,19
LUCKNOW,P12042111835,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,12/04/2021 21:43:00,26.858,81.001,2021-04-12,4,2,21
LUCKNOW,P12042112124,C1,PS2,PHONE,Kidnap,Child Kidnap,12/04/2021 21:56:00,26.85,81.01,2021-04-12,4,2,21
LUCKNOW,P12042112157,C1,PS2,PHONE,Missing,Women,12/04/2021 21:57:00,26.849,81.015,2021-04-12,4,2,21
LUCKNOW,P12042113660,C1,PS2,PHONE,Threat In Person,Threatening To Kill,12/04/2021 23:18:00,26.854,80.994,2021-04-12,4,2,23
LUCKNOW,P12042113671,C1,PS2,PHONE,Threat In Person,Threatening To Kill,12/04/2021 23:18:00,26.856,81.005,2021-04-12,4,2,23
LUCKNOW,P01052106987,C1,PS2,PHONE,Dispute,Other Dispute,01/05/2021 13:26:27,26.854,81.001,2021-05-01,5,7,13
LUCKNOW,P01052107260,C1,PS2,PHONE,Dispute,Other Dispute,01/05/2021 13:53:03,26.844,80.99,2021-05-01,5,7,13
LUCKNOW,P01052108361,C1,PS2,PHONE,Dispute,Other Dispute,01/05/2021 15:32:48,26.854,81.006,2021-05-01,5,7,15
LUCKNOW,P01052109960,C1,PS2,PHONE,Dispute,Other Dispute,01/05/2021 17:41:23,26.85,80.994,2021-05-01,5,7,17
LUCKNOW,P02052100044,C1,PS2,PHONE,Threat In Person,Attack,02/05/2021 00:08:16,26.853,80.989,2021-05-02,5,1,0
LUCKNOW,P02052103115,C1,PS2,PHONE,Dispute,Other Dispute,02/05/2021 09:55:55,25.777,81.739,2021-05-02,5,1,9
LUCKNOW,P02052104918,C1,PS2,PHONE,Dispute,Dispute In Hospital,02/05/2021 12:40:30,26.858,80.989,2021-05-02,5,1,12
LUCKNOW,P02052109726,C1,PS2,PHONE,Dispute,Dispute Between Ride And Driver,02/05/2021 19:46:40,26.853,81.005,2021-05-02,5,1,19
LUCKNOW,P03052102982,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,03/05/2021 08:56:53,26.852,80.997,2021-05-03,5,2,8
LUCKNOW,P03052103407,C1,PS2,PHONE,Property Disputes,Boundary Dispute,03/05/2021 09:26:47,26.839,81.026,2021-05-03,5,2,9
LUCKNOW,P03052104590,C1,PS2,PHONE,Theft,Residential Building,03/05/2021 10:42:56,26.843,80.999,2021-05-03,5,2,10
LUCKNOW,P03052105062,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,03/05/2021 11:14:20,26.852,80.997,2021-05-03,5,2,11
LUCKNOW,P03052105136,C1,PS2,PHONE,Threat In Person,Threatening To Kill,03/05/2021 11:18:58,26.86,80.991,2021-05-03,5,2,11
LUCKNOW,P03052105222,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,03/05/2021 11:25:14,26.856,80.99,2021-05-03,5,2,11
LUCKNOW,P03052109613,C1,PS2,PHONE,Dispute,Money Transactions Dispute,03/05/2021 16:58:16,26.851,81.008,2021-05-03,5,2,16
LUCKNOW,P03052109911,C1,PS2,PHONE,Missing,Grp-Animal Accident By Train,03/05/2021 17:19:56,26.855,81.003,2021-05-03,5,2,17
LUCKNOW,P03052113119,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Women,03/05/2021 20:26:37,26.853,80.995,2021-05-03,5,2,20
LUCKNOW,P03052116152,C1,PS2,PHONE,Dispute,Other Dispute,03/05/2021 23:05:28,26.852,80.99,2021-05-03,5,2,23
LUCKNOW,P03052116661,C1,PS2,PHONE,Dispute,Other Dispute,03/05/2021 23:52:18,26.853,80.99,2021-05-03,5,2,23
LUCKNOW,P04052104255,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,04/05/2021 10:32:07,26.857,80.995,2021-05-04,5,3,10
LUCKNOW,P04052105540,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Women,04/05/2021 11:58:43,26.846,80.995,2021-05-04,5,3,11
LUCKNOW,P04052105836,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,04/05/2021 12:19:01,26.851,80.988,2021-05-04,5,3,12
LUCKNOW,P04052108098,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,04/05/2021 15:09:22,26.848,80.996,2021-05-04,5,3,15
LUCKNOW,P04052109568,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,04/05/2021 17:01:23,26.85,81.013,2021-05-04,5,3,17
LUCKNOW,P04052109923,C1,PS2,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By,04/05/2021 17:26:59,26.857,80.997,2021-05-04,5,3,17
LUCKNOW,P05052107702,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,05/05/2021 15:04:36,26.851,81.008,2021-05-05,5,4,15
LUCKNOW,P05052108827,C1,PS2,PHONE,Threat In Person,Attack,05/05/2021 16:36:12,26.854,81.008,2021-05-05,5,4,16
LUCKNOW,P05052110974,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,05/05/2021 19:15:55,26.849,80.997,2021-05-05,5,4,19
LUCKNOW,P05052111050,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Threaten Men,05/05/2021 19:21:22,26.852,80.99,2021-05-05,5,4,19
LUCKNOW,P05052111884,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,05/05/2021 20:21:37,26.857,81.014,2021-05-05,5,4,20
LUCKNOW,P05052113150,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,05/05/2021 21:41:13,26.856,80.998,2021-05-05,5,4,21
LUCKNOW,P05052113624,C1,PS2,PHONE,Dispute,Dispute With Drunk Person,05/05/2021 22:15:18,26.863,80.981,2021-05-05,5,4,22
LUCKNOW,P06052103412,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,06/05/2021 09:59:45,26.861,80.986,2021-05-06,5,5,9
LUCKNOW,P06052108140,C1,PS2,PHONE,Dispute,Other Dispute,06/05/2021 16:18:48,26.854,80.991,2021-05-06,5,5,16
LUCKNOW,P06052108379,C1,PS2,PHONE,Cyber Crimes,Illegally Transfer Money From Bank,06/05/2021 16:37:54,26.846,81.008,2021-05-06,5,5,16
LUCKNOW,P06052109950,C1,PS2,PHONE,Dispute,Other Dispute,06/05/2021 18:39:28,26.851,80.983,2021-05-06,5,5,18
LUCKNOW,P06052111051,C1,PS2,PHONE,Threat In Person,Threatening To Kill,06/05/2021 20:08:18,26.852,80.99,2021-05-06,5,5,20
LUCKNOW,P06052113006,C1,PS2,PHONE,Medium Fire,Electrical Equipment,06/05/2021 22:39:55,26.852,80.99,2021-05-06,5,5,22
LUCKNOW,P06052113313,C1,PS2,PHONE,Dispute,Money Transactions Dispute,06/05/2021 23:16:45,26.842,80.992,2021-05-06,5,5,23
LUCKNOW,P07052104167,C1,PS2,PHONE,Theft,Residential Building,07/05/2021 11:34:32,26.844,81.026,2021-05-07,5,6,11
LUCKNOW,P07052105369,C1,PS2,PHONE,Robbery,On Road,07/05/2021 13:16:39,26.854,81.003,2021-05-07,5,6,13
LUCKNOW,P07052108208,C1,PS2,PHONE,Cyber Crimes,Website Hacking,07/05/2021 17:51:22,26.855,81.003,2021-05-07,5,6,17
LUCKNOW,P07052108635,C1,PS2,TWITTER,Threat In Person,Threatening To Kill,07/05/2021 18:26:24,26.852,80.99,2021-05-07,5,6,18
LUCKNOW,P07052111896,C1,PS2,PHONE,Dispute,Other Dispute,07/05/2021 22:50:45,26.858,81.005,2021-05-07,5,6,22
LUCKNOW,P07052112262,C1,PS2,PHONE,Dispute,Other Dispute,07/05/2021 23:25:52,26.856,81.004,2021-05-07,5,6,23
LUCKNOW,P08052102339,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,08/05/2021 08:46:10,26.849,80.996,2021-05-08,5,7,8
LUCKNOW,P08052103896,C1,PS2,WhatsApp,Dispute,Money Transactions Dispute,08/05/2021 10:47:11,26.861,80.986,2021-05-08,5,7,10
LUCKNOW,P08052104107,C1,PS2,PHONE,Dispute,Money Transactions Dispute,08/05/2021 11:03:28,26.851,81.017,2021-05-08,5,7,11
LUCKNOW,P08052105562,C1,PS2,PHONE,Dispute,Other Dispute,08/05/2021 13:03:50,26.843,80.999,2021-05-08,5,7,13
LUCKNOW,P08052105889,C1,PS2,PHONE,Dispute,Dispute Between Ride And Driver,08/05/2021 13:37:21,26.856,81.001,2021-05-08,5,7,13
LUCKNOW,P08052111416,C1,PS2,PHONE,Information Against Police,Misbehavior By Ps Incharge,08/05/2021 21:38:00,26.852,80.99,2021-05-08,5,7,21
LUCKNOW,P09052101365,C1,PS2,PHONE,Theft,Residential Building,09/05/2021 07:10:00,26.856,80.998,2021-05-09,5,1,7
LUCKNOW,P09052105176,C1,PS2,PHONE,Threat In Person,Threatening To Kill,09/05/2021 12:13:01,26.846,80.988,2021-05-09,5,1,12
LUCKNOW,P09052106646,C1,PS2,PHONE,Dispute,Dispute In Hospital,09/05/2021 14:26:28,26.852,80.99,2021-05-09,5,1,14
LUCKNOW,P09052109319,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,09/05/2021 18:21:43,26.854,81.008,2021-05-09,5,1,18
LUCKNOW,P09052110038,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,09/05/2021 19:23:31,26.846,81.009,2021-05-09,5,1,19
LUCKNOW,P09052111458,C1,PS2,PHONE,Dispute,Other Dispute,09/05/2021 21:15:43,26.858,80.986,2021-05-09,5,1,21
LUCKNOW,P10052100289,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,10/05/2021 01:28:52,26.85,80.993,2021-05-10,5,2,1
LUCKNOW,P10052101318,C1,PS2,PHONE,Dispute,Other Dispute,10/05/2021 07:24:05,26.86,80.99,2021-05-10,5,2,7
LUCKNOW,P10052101575,C1,PS2,PHONE,Threat In Person,Attack,10/05/2021 07:48:49,26.857,80.975,2021-05-10,5,2,7
LUCKNOW,P10052111474,C1,PS2,PHONE,Female Sexual Harrassment,Teasing On Public Place,10/05/2021 21:06:01,26.858,80.989,2021-05-10,5,2,21
LUCKNOW,P10052111517,C1,PS2,PHONE,Threat In Person,Attack,10/05/2021 21:08:02,26.858,80.989,2021-05-10,5,2,21
LUCKNOW,P11052101778,C1,PS2,PHONE,Dispute,Other Dispute,11/05/2021 08:06:43,26.851,81.02,2021-05-11,5,3,8
LUCKNOW,P11052102388,C1,PS2,PHONE,Dispute,Other Dispute,11/05/2021 08:51:34,26.857,80.985,2021-05-11,5,3,8
LUCKNOW,P11052102431,C1,PS2,PHONE,Dispute,Dispute Between Ride And Driver,11/05/2021 08:54:07,26.863,80.986,2021-05-11,5,3,8
LUCKNOW,P11052103020,C1,PS2,PHONE,Dispute,Other Dispute,11/05/2021 09:32:36,26.851,81.02,2021-05-11,5,3,9
LUCKNOW,P11052103513,C1,PS2,PHONE,Threat In Person,Threatening To Kill,11/05/2021 10:04:44,26.852,81.0,2021-05-11,5,3,10
LUCKNOW,P11052105849,C1,PS2,PHONE,Cyber Crimes,Obtain Illegally Atm / Bank  Information,11/05/2021 12:43:52,26.846,81.004,2021-05-11,5,3,12
LUCKNOW,P11052107307,C1,PS2,PHONE,Forgery,Making Fake Papers,11/05/2021 14:39:29,26.863,80.978,2021-05-11,5,3,14
LUCKNOW,P11052108545,C1,PS2,PHONE,Gambling,From Any Device,11/05/2021 16:21:06,26.862,80.976,2021-05-11,5,3,16
LUCKNOW,P11052108703,C1,PS2,PHONE,Gambling,Play Cards,11/05/2021 16:32:43,26.864,80.981,2021-05-11,5,3,16
LUCKNOW,P11052109077,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,11/05/2021 16:56:23,26.864,80.981,2021-05-11,5,3,16
LUCKNOW,P12052100404,C1,PS2,PHONE,Dispute,Money Transactions Dispute,12/05/2021 01:19:44,26.855,81.018,2021-05-12,5,4,1
LUCKNOW,P12052101600,C1,PS2,PHONE,Threat In Person,Threatening To Kill,12/05/2021 07:19:12,26.861,80.995,2021-05-12,5,4,7
LUCKNOW,P12052105593,C1,PS2,PHONE,Dispute,Money Transactions Dispute,12/05/2021 12:02:51,26.851,81.008,2021-05-12,5,4,12
LUCKNOW,P12052111014,C1,PS2,PHONE,Threat In Person,Attack,12/05/2021 17:47:16,26.858,80.989,2021-05-12,5,4,17
LUCKNOW,P12052114321,C1,PS2,PHONE,Dispute,Money Transactions Dispute,12/05/2021 20:50:19,26.852,80.99,2021-05-12,5,4,20
LUCKNOW,P12052116039,C1,PS2,TWITTER,Dispute,Money Transactions Dispute,12/05/2021 22:03:23,26.865,80.977,2021-05-12,5,4,22
LUCKNOW,P12052117321,C1,PS2,PHONE,Threat In Person,Threatening To Kill,12/05/2021 23:17:35,26.851,81.006,2021-05-12,5,4,23
LUCKNOW,P12052117367,C1,PS2,PHONE,Female Sexual Harrassment,Teasing On Public Place,12/05/2021 23:21:43,26.853,80.992,2021-05-12,5,4,23
LUCKNOW,P12052117619,C1,PS2,PHONE,Dispute,Dispute With Drunk Person,12/05/2021 23:47:08,26.852,80.986,2021-05-12,5,4,23
LUCKNOW,P01062100774,C1,PS2,PHONE,Dispute,Other Dispute,01/06/2021 03:41:57,26.854,81.006,2021-06-01,6,3,3
LUCKNOW,P01062103924,C1,PS2,PHONE,Theft,Cycle,01/06/2021 10:18:25,26.855,81.003,2021-06-01,6,3,10
LUCKNOW,P01062104648,C1,PS2,PHONE,Dispute,Money Transactions Dispute,01/06/2021 11:02:25,26.853,80.992,2021-06-01,6,3,11
LUCKNOW,P01062104669,C1,PS2,PHONE,Robbery,On Road,01/06/2021 11:03:30,26.857,81.01,2021-06-01,6,3,11
LUCKNOW,P01062105555,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,01/06/2021 12:08:41,26.849,80.996,2021-06-01,6,3,12
LUCKNOW,P01062108666,C1,PS2,PHONE,Dispute,Money Transactions Dispute,01/06/2021 15:45:08,26.859,81.004,2021-06-01,6,3,15
LUCKNOW,P01062109079,C1,PS2,PHONE,Threat In Person,Threatening To Kill,01/06/2021 16:15:23,26.864,80.981,2021-06-01,6,3,16
LUCKNOW,P01062109933,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,01/06/2021 17:12:21,26.856,80.998,2021-06-01,6,3,17
LUCKNOW,P01062110078,C1,PS2,PHONE,Dispute,Other Dispute,01/06/2021 17:20:54,26.854,81.001,2021-06-01,6,3,17
LUCKNOW,P01062110400,C1,PS2,PHONE,Gambling,Play Cards,01/06/2021 17:41:21,26.848,80.993,2021-06-01,6,3,17
LUCKNOW,P01062111330,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,01/06/2021 18:39:13,26.853,80.99,2021-06-01,6,3,18
LUCKNOW,P01062115199,C1,PS2,PHONE,Theft,Other Location,01/06/2021 21:50:05,26.86,80.99,2021-06-01,6,3,21
LUCKNOW,P01062116452,C1,PS2,PHONE,Threat In Person,Attack,01/06/2021 22:45:34,26.853,80.999,2021-06-01,6,3,22
LUCKNOW,P02062101809,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,02/06/2021 07:23:36,26.852,80.99,2021-06-02,6,4,7
LUCKNOW,P02062105050,C1,PS2,PHONE,Encroachment,Government Land,02/06/2021 10:47:33,26.835,81.008,2021-06-02,6,4,10
LUCKNOW,P02062109581,C1,PS2,PHONE,Dispute,Money Transactions Dispute,02/06/2021 16:07:19,26.852,80.999,2021-06-02,6,4,16
LUCKNOW,P02062110385,C1,PS2,PHONE,Dispute,Other Dispute,02/06/2021 16:57:31,26.853,81.0,2021-06-02,6,4,16
LUCKNOW,P02062110799,C1,PS2,PHONE,Encroachment,Government Land,02/06/2021 17:21:51,26.834,81.008,2021-06-02,6,4,17
LUCKNOW,P02062111349,C1,PS2,PHONE,Dacoity,On Road,02/06/2021 17:55:41,26.854,80.99,2021-06-02,6,4,17
LUCKNOW,P02062113004,C1,PS2,PHONE,Dispute,Dispute With Drunk Person,02/06/2021 19:25:15,26.86,80.99,2021-06-02,6,4,19
LUCKNOW,P02062119514,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,02/06/2021 23:56:52,26.842,80.991,2021-06-02,6,4,23
LUCKNOW,P03062104570,C1,PS2,PHONE,Dacoity,On Road,03/06/2021 09:39:17,26.859,80.978,2021-06-03,6,5,9
LUCKNOW,P03062106643,C1,PS2,PHONE,Child Crime(Sexual Abuse),Teasing On Public Place,03/06/2021 11:42:47,26.861,80.991,2021-06-03,6,5,11
LUCKNOW,P03062106864,C1,PS2,PHONE,Property Disputes,Boundary Dispute,03/06/2021 11:57:17,26.85,81.0,2021-06-03,6,5,11
LUCKNOW,P03062107480,C1,PS2,PHONE,Dispute,Other Dispute,03/06/2021 12:41:55,26.852,80.99,2021-06-03,6,5,12
LUCKNOW,P03062108256,C1,PS2,PHONE,Threat In Person,Threatening To Kill,03/06/2021 13:38:00,26.848,81.016,2021-06-03,6,5,13
LUCKNOW,P03062109193,C1,PS2,PHONE,Missing,Women,03/06/2021 14:44:40,26.851,80.99,2021-06-03,6,5,14
LUCKNOW,P03062109244,C1,PS2,PHONE,Dispute,Money Transactions Dispute,03/06/2021 14:47:36,26.847,81.006,2021-06-03,6,5,14
LUCKNOW,P03062109669,C1,PS2,PHONE,Threat In Person,Attack,03/06/2021 15:19:38,26.853,80.998,2021-06-03,6,5,15
LUCKNOW,P03062110444,C1,PS2,PHONE,Dispute,Other Dispute,03/06/2021 16:13:34,26.848,80.991,2021-06-03,6,5,16
LUCKNOW,P03062111599,C1,PS2,PHONE,Theft,Residential Building,03/06/2021 17:26:14,26.852,80.99,2021-06-03,6,5,17
LUCKNOW,P03062112835,C1,PS2,PHONE,Dispute,Other Dispute,03/06/2021 18:37:48,26.845,81.001,2021-06-03,6,5,18
LUCKNOW,P03062113715,C1,PS2,PHONE,Dispute,Other Dispute,03/06/2021 19:23:16,26.848,81.002,2021-06-03,6,5,19
LUCKNOW,P03062114208,C1,PS2,PHONE,Dispute,Dispute With Drunk Person,03/06/2021 19:48:37,26.864,80.981,2021-06-03,6,5,19
LUCKNOW,P03062115342,C1,PS2,PHONE,Dispute,Dispute With Unknown Person,03/06/2021 20:41:34,26.849,81.017,2021-06-03,6,5,20
LUCKNOW,P03062115438,C1,PS2,PHONE,Dispute,Dispute Between Ride And Driver,03/06/2021 20:45:14,26.852,80.989,2021-06-03,6,5,20
LUCKNOW,P03062116834,C1,PS2,PHONE,Theft,Residential Building,03/06/2021 21:39:14,26.849,81.01,2021-06-03,6,5,21
LUCKNOW,P03062117592,C1,PS2,PHONE,Dispute,With Neighbor,03/06/2021 22:09:07,26.865,80.978,2021-06-03,6,5,22
LUCKNOW,P03062119724,C1,PS2,PHONE,Missing,Child,03/06/2021 23:52:40,26.849,80.997,2021-06-03,6,5,23
LUCKNOW,P04062104588,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,04/06/2021 09:32:53,26.845,81.01,2021-06-04,6,6,9
LUCKNOW,P04062106434,C1,PS2,TWITTER,Crime On Phone Mobile Social Media Internet,Abuse Men,04/06/2021 11:21:54,26.853,80.997,2021-06-04,6,6,11
LUCKNOW,P04062108644,C1,PS2,PHONE,Dispute,Dispute With Unknown Person,04/06/2021 13:53:24,26.854,81.003,2021-06-04,6,6,13
LUCKNOW,P04062110203,C1,PS2,PHONE,Dispute,Other Dispute,04/06/2021 15:43:40,26.85,80.986,2021-06-04,6,6,15
LUCKNOW,P04062110826,C1,PS2,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,04/06/2021 16:21:03,26.848,80.996,2021-06-04,6,6,16
LUCKNOW,P04062111794,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,04/06/2021 17:24:28,26.853,81.013,2021-06-04,6,6,17
LUCKNOW,P04062112042,C1,PS2,PHONE,Gambling,Betting,04/06/2021 17:41:38,26.852,80.982,2021-06-04,6,6,17
LUCKNOW,P04062114796,C1,PS2,PHONE,Dispute,With Neighbor,04/06/2021 20:12:02,26.853,81.005,2021-06-04,6,6,20
LUCKNOW,P04062115122,C1,PS2,PHONE,Dispute,Other Dispute,04/06/2021 20:26:56,26.843,80.999,2021-06-04,6,6,20
LUCKNOW,P04062115647,C1,PS2,PHONE,Dispute,Other Dispute,04/06/2021 20:47:45,26.853,81.005,2021-06-04,6,6,20
LUCKNOW,P04062118657,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,04/06/2021 22:40:53,26.852,80.99,2021-06-04,6,6,22
LUCKNOW,P04062119003,C1,PS2,PHONE,Threat In Person,Threatening To Kill,04/06/2021 22:55:48,26.852,80.99,2021-06-04,6,6,22
LUCKNOW,P05062100482,C1,PS2,PHONE,Dispute,Other Dispute,05/06/2021 00:57:34,26.853,81.013,2021-06-05,6,7,0
LUCKNOW,P05062101501,C1,PS2,PHONE,Dispute,Other Dispute,05/06/2021 06:17:26,26.852,80.999,2021-06-05,6,7,6
LUCKNOW,P05062110544,C1,PS2,PHONE,Theft,Other Location,05/06/2021 15:56:56,26.859,80.992,2021-06-05,6,7,15
LUCKNOW,P05062112143,C1,PS2,PHONE,Dispute,Dispute Between Ride And Driver,05/06/2021 17:37:24,26.853,80.994,2021-06-05,6,7,17
LUCKNOW,P05062113892,C1,PS2,PHONE,Theft,Residential Building,05/06/2021 19:05:48,26.854,80.989,2021-06-05,6,7,19
LUCKNOW,P05062114848,C1,PS2,PHONE,Dispute,Other Dispute,05/06/2021 19:50:08,26.859,80.985,2021-06-05,6,7,19
LUCKNOW,P05062115123,C1,PS2,PHONE,Female Sexual Harrassment,Teasing In Building Or Premise,05/06/2021 20:03:21,26.852,80.983,2021-06-05,6,7,20
LUCKNOW,P05062116804,C1,PS2,PHONE,Kidnap,Men Kidnap,05/06/2021 21:12:47,26.851,80.989,2021-06-05,6,7,21
LUCKNOW,P05062119354,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,05/06/2021 22:47:30,26.856,81.016,2021-06-05,6,7,22
